episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
42,-20.0,-19.738095238095237,-15.0,-21.0,1.5771069107577205,-0.0253913617998478,0.04020949262485374
43,-18.0,-19.697674418604652,-15.0,-21.0,1.5474434001371264,-0.02823363353672903,0.05031615882762708
44,-19.0,-19.681818181818183,-15.0,-21.0,1.5513626765459776,-0.026750101984362118,0.04239365950343199
45,-19.0,-19.666666666666668,-15.0,-21.0,1.5115574384108186,-0.028733277140418068,0.04633820960589219
46,-20.0,-19.67391304347826,-15.0,-21.0,1.52253548335284,-0.02626177470665425,0.03900099741440499
47,-19.0,-19.659574468085108,-15.0,-21.0,1.4926163386553526,-0.027684118329489138,0.032157895337149967
48,-16.0,-19.583333333333332,-15.0,-21.0,1.4871117994189262,-0.02978672384051606,0.04640064109116793
49,-16.0,-19.510204081632654,-15.0,-21.0,1.4891071543097496,-0.029232940221845638,0.04452918021706864
50,-17.0,-19.46,-15.0,-21.0,1.4958580266684294,-0.030947808219934814,0.03355441452731611
51,-17.0,-19.41176470588235,-15.0,-21.0,1.479376438073814,-0.029035839201242197,0.03890392560424516
52,-19.0,-19.403846153846153,-15.0,-21.0,1.4568908894434571,-0.031085790193174034,0.04099183439393528
53,-20.0,-19.41509433962264,-15.0,-21.0,1.487220930866897,-0.029376565908023622,0.03965882096963469
54,-17.0,-19.37037037037037,-15.0,-21.0,1.4505068799480796,-0.0318948830536101,0.03528680950694252
55,-19.0,-19.363636363636363,-15.0,-21.0,1.4359987042844296,-0.029782121069729328,0.03760513077577343
56,-18.0,-19.339285714285715,-15.0,-21.0,1.4267061492428184,-0.02798430691473186,0.04585196245170664
57,-21.0,-19.36842105263158,-15.0,-21.0,1.4203186966478825,-0.028588496883457992,0.038556111889192834
58,-19.0,-19.362068965517242,-15.0,-21.0,1.4454746209084988,-0.032238021078228485,0.041346765370690264
59,-21.0,-19.389830508474578,-15.0,-21.0,1.4227521819993854,-0.0313201870303601,0.0363806428067619
60,-16.0,-19.333333333333332,-15.0,-21.0,1.4428566843271255,-0.02724986764951609,0.033875878929393366
61,-16.0,-19.278688524590162,-15.0,-21.0,1.4409172469750047,-0.0339416052956949,0.0342181190935662
62,-15.0,-19.20967741935484,-15.0,-21.0,1.359479016624391,-0.03141868661623448,0.028800889595004264
63,-19.0,-19.206349206349206,-15.0,-21.0,1.3531871903687716,-0.02895839625853114,0.03307334953569807
64,-17.0,-19.171875,-15.0,-21.0,1.3654337041079998,-0.028490561788203195,0.02315523393554031
65,-20.0,-19.184615384615384,-15.0,-21.0,1.3211449021473527,-0.031330127523688134,0.029063917048915755
66,-19.0,-19.181818181818183,-15.0,-21.0,1.3453756039962173,-0.0299283510321402,0.026329640539188404
67,-18.0,-19.16417910447761,-15.0,-21.0,1.3022164786234498,-0.027324615250108764,0.03385059173160698
68,-17.0,-19.13235294117647,-15.0,-21.0,1.3079925114288926,-0.02893446639063768,0.041987834716564976
69,-19.0,-19.130434782608695,-15.0,-21.0,1.317006685771048,-0.02542561711743474,0.05515710104373284
70,-19.0,-19.12857142857143,-15.0,-21.0,1.3222734685987234,-0.029984430962940678,0.05006463066092692
71,-21.0,-19.154929577464788,-15.0,-21.0,1.3686027275398374,-0.03309471638931427,0.03762738841760438
72,-17.0,-19.125,-15.0,-21.0,1.344195588491857,-0.03187983636598801,0.03288840008463012
73,-21.0,-19.15068493150685,-15.0,-21.0,1.3277876498177648,-0.030471726480755024,0.026889497545198537
74,-15.0,-19.094594594594593,-15.0,-21.0,1.2846733229234815,-0.029665632799151354,0.03459496633877279
75,-19.0,-19.093333333333334,-15.0,-21.0,1.26174970343709,-0.029245534678921103,0.030301929844426923
76,-18.0,-19.07894736842105,-15.0,-21.0,1.274970704689622,-0.030086522878264077,0.022360405506333336
77,-21.0,-19.103896103896105,-15.0,-21.0,1.2972577065229416,-0.03047977558162529,0.03733978905074764
78,-15.0,-19.05128205128205,-15.0,-21.0,1.2214295836165547,-0.02946004006662406,0.032051311114628334
79,-17.0,-19.025316455696203,-15.0,-21.0,1.2608141908422112,-0.029960700558149256,0.034093178786861245
80,-17.0,-19.0,-15.0,-21.0,1.2528449231758714,-0.027079150459030643,0.03317786983825499
81,-17.0,-18.97530864197531,-15.0,-21.0,1.300945034250617,-0.03028282402374316,0.02819148277194472
82,-18.0,-18.963414634146343,-15.0,-21.0,1.275268042460084,-0.028960912917682435,0.027776473230915144
83,-16.0,-18.927710843373493,-15.0,-21.0,1.2543663792312145,-0.029356898681726307,0.02843118515011156
84,-18.0,-18.916666666666668,-15.0,-21.0,1.2478613471612334,-0.03031621622358216,0.03173451672773808
85,-15.0,-18.870588235294118,-15.0,-21.0,1.264583365060389,-0.03287260714569129,0.02699121495243162
